,Unnamed: 0,state,district,block,panchayat,village,stateCode,districtCode,blockCode,panchayatCode,locationType,name,slug,finyear,value,textValue,lastUpdateDate
42,6378,ANDHRA PRADESH,ANANTAPUR,Putlur,,,2,212,212028.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,584281.0,584281.0,2019-10-18
43,6526,ANDHRA PRADESH,ANANTAPUR,Puttaparthi,,,2,212,212049.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,317552.0,317552.0,2019-10-18
44,6674,ANDHRA PRADESH,ANANTAPUR,Ramagiri,,,2,212,212035.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,262759.0,262759.0,2019-10-18
45,6822,ANDHRA PRADESH,ANANTAPUR,Raptadu,,,2,212,212032.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,386303.0,386303.0,2019-10-18
46,6970,ANDHRA PRADESH,ANANTAPUR,Rayadurg,,,2,212,212018.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,456923.0,456923.0,2019-10-18
47,7118,ANDHRA PRADESH,ANANTAPUR,Roddam,,,2,212,212053.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,263317.0,263317.0,2019-10-18
48,7266,ANDHRA PRADESH,ANANTAPUR,Rolla,,,2,212,212063.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,170483.0,170483.0,2019-10-18
49,7414,ANDHRA PRADESH,ANANTAPUR,Settur,,,2,212,212021.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,244087.0,244087.0,2019-10-18
50,7562,ANDHRA PRADESH,ANANTAPUR,Singanamala,,,2,212,212011.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,630872.0,630872.0,2019-10-18
51,7710,ANDHRA PRADESH,ANANTAPUR,Somandepalle,,,2,212,212054.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,233816.0,233816.0,2019-10-18
52,7858,ANDHRA PRADESH,ANANTAPUR,Tadimarri,,,2,212,212030.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,332682.0,332682.0,2019-10-18
53,8006,ANDHRA PRADESH,ANANTAPUR,Tadpatri,,,2,212,212009.0,,block,Persondays Generated so far,persondays-generated-so-far,19.0,475454.0,475454.0,2019-10-18
